,ticker,market_cap,fte,revenue,rev_per_fte
667,TGLS,"$977,820,000.00","6,908.00",$0.00,$0.00
668,TGS,"$970,350,000.00","1,108.00",$0.00,$0.00
669,TGTX,"$994,270,000.00",219.00,$0.00,$0.00
670,TH,"$1,352,510,000.00",823.00,$0.00,$0.00
672,TMCI,"$933,910,000.00",248.00,$0.00,$0.00
673,TMDX,"$977,690,000.00",148.00,$0.00,$0.00
674,TMP,"$1,095,720,000.00",969.00,$0.00,$0.00
676,TPH,"$1,886,620,000.00","1,390.00",$0.00,$0.00
685,TVTX,"$1,497,750,000.00",310.00,$0.00,$0.00
677,TRMD,"$1,166,690,000.00",439.00,$0.00,$0.00
678,TRMK,"$1,896,320,000.00","2,727.00",$0.00,$0.00
679,TRS,"$1,167,840,000.00","3,500.00",$0.00,$0.00
680,TSE,"$1,549,930,000.00","3,400.00",$0.00,$0.00
682,TTGT,"$1,826,600,000.00","1,000.00",$0.00,$0.00
683,TTMI,"$1,323,010,000.00","16,100.00",$0.00,$0.00
684,TUYA,"$1,281,420,000.00","3,470.00",$0.00,$0.00
708,VCYT,"$1,910,440,000.00",761.00,$0.00,$0.00
710,VEON,"$983,080,000.00","44,586.00",$0.00,$0.00
665,TGH,"$1,510,100,000.00",164.00,$0.00,$0.00
739,XMTR,"$1,779,860,000.00",788.00,$0.00,$0.00
732,WISH,"$1,093,740,000.00","1,218.00",$0.00,$0.00
733,WOW,"$1,697,600,000.00","1,500.00",$0.00,$0.00
734,WRBY,"$1,363,300,000.00","1,791.00",$0.00,$0.00
735,WRE,"$1,875,960,000.00",53.00,$0.00,$0.00
736,WSBC,"$1,980,470,000.00","2,509.00",$0.00,$0.00
737,WWW,"$1,800,360,000.00","4,400.00",$0.00,$0.00
738,XHR,"$1,859,240,000.00",34.00,$0.00,$0.00
740,XNCR,"$1,750,510,000.00",254.00,$0.00,$0.00
730,WFRD,"$1,364,110,000.00","17,500.00",$0.00,$0.00
741,XPEL,"$1,643,260,000.00",709.00,$0.00,$0.00
742,XPER,"$1,661,830,000.00","1,950.00",$0.00,$0.00
743,XPRO,"$1,199,020,000.00","7,200.00",$0.00,$0.00
744,YY,"$1,956,580,000.00","7,449.00",$0.00,$0.00
745,ZETA,"$1,134,910,000.00","1,434.00",$0.00,$0.00
746,ZH,"$1,075,620,000.00","2,649.00",$0.00,$0.00
747,ZNTL,"$1,702,870,000.00",177.00,$0.00,$0.00
731,WGO,"$1,871,790,000.00","6,532.00",$0.00,$0.00
729,WEBR,"$1,951,080,000.00","2,534.00",$0.00,$0.00
711,VERU,"$1,204,290,000.00",252.00,$0.00,$0.00
719,VORB,"$1,420,840,000.00",660.00,$0.00,$0.00
712,VERV,"$1,553,320,000.00",113.00,$0.00,$0.00
713,VERX,"$1,659,460,000.00","1,300.00",$0.00,$0.00
714,VGR,"$1,677,820,000.00",500.00,$0.00,$0.00
715,VHI,"$1,378,080,000.00","2,847.00",$0.00,$0.00
716,VIVO,"$1,429,510,000.00",702.00,$0.00,$0.00
717,VLRS,"$1,205,710,000.00","7,029.00",$0.00,$0.00
718,VMEO,"$1,079,950,000.00","1,219.00",$0.00,$0.00
720,VRE,"$1,254,570,000.00",234.00,$0.00,$0.00
728,WBX,"$1,221,750,000.00",775.00,$0.00,$0.00
721,VRTS,"$1,455,170,000.00",668.00,$0.00,$0.00
722,VRTV,"$1,812,280,000.00","6,100.00",$0.00,$0.00
723,VSTO,"$1,697,860,000.00","6,900.00",$0.00,$0.00
724,VVNT,"$1,006,430,000.00","11,000.00",$0.00,$0.00
725,VVX,"$950,260,000.00","7,100.00",$0.00,$0.00
726,VZIO,"$1,761,180,000.00",800.00,$0.00,$0.00
727,WABC,"$1,508,060,000.00",534.00,$0.00,$0.00
666,TGI,"$988,790,000.00","5,340.00",$0.00,$0.00
664,TEO,"$1,250,600,000.00","22,444.00",$0.00,$0.00
572,RILY,"$1,365,360,000.00","1,406.00",$0.00,$0.00
607,SCWX,"$914,190,000.00","2,351.00",$0.00,$0.00
599,SBGI,"$1,616,910,000.00","11,500.00",$0.00,$0.00
600,SBH,"$1,463,730,000.00","29,000.00",$0.00,$0.00
602,SBSI,"$1,233,530,000.00",809.00,$0.00,$0.00
603,SCHL,"$1,310,030,000.00","5,160.00",$0.00,$0.00
604,SCHN,"$973,900,000.00","3,167.00",$0.00,$0.00
605,SCPL,"$1,761,620,000.00",556.00,$0.00,$0.00
606,SCS,"$1,271,970,000.00","11,600.00",$0.00,$0.00
609,SEAT,"$1,702,220,000.00",430.00,$0.00,$0.00
597,SASR,"$1,830,070,000.00","1,084.00",$0.00,$0.00
610,SEMR,"$1,771,480,000.00","1,173.00",$0.00,$0.00
611,SES,"$1,773,500,000.00",126.00,$0.00,$0.00
612,SFL,"$1,374,580,000.00",18.00,$0.00,$0.00
614,SGH,"$931,940,000.00","3,800.00",$0.00,$0.00
615,SHEN,"$1,037,250,000.00",860.00,$0.00,$0.00
616,SIGA,"$1,324,710,000.00",39.00,$0.00,$0.00
617,SII,"$1,146,490,000.00",173.00,$0.00,$0.00
598,SATS,"$1,637,360,000.00","2,500.00",$0.00,$0.00
595,SANA,"$1,711,990,000.00",420.00,$0.00,$0.00
619,SJW,"$1,924,360,000.00",751.00,$0.00,$0.00
581,RPT,"$907,330,000.00",125.00,$0.00,$0.00
573,RIOT,"$963,320,000.00",335.00,$0.00,$0.00
574,RNA,"$918,750,000.00",125.00,$0.00,$0.00
576,RNST,"$1,748,080,000.00","2,409.00",$0.00,$0.00
577,ROAD,"$1,200,160,000.00",805.00,$0.00,$0.00
578,ROCC,"$1,606,180,000.00",136.00,$0.00,$0.00
579,ROCK,"$1,440,520,000.00","2,011.00",$0.00,$0.00
580,RPAY,"$1,416,280,000.00",552.00,$0.00,$0.00
583,RSI,"$1,266,140,000.00",468.00,$0.00,$0.00
594,SAH,"$1,517,840,000.00","10,200.00",$0.00,$0.00
585,RVNC,"$1,243,180,000.00",495.00,$0.00,$0.00
587,RWT,"$1,004,550,000.00",298.00,$0.00,$0.00
588,RXDX,"$1,371,190,000.00",72.00,$0.00,$0.00
589,RXRX,"$1,464,020,000.00",450.00,$0.00,$0.00
590,RXT,"$1,424,870,000.00","6,600.00",$0.00,$0.00
591,RYI,"$943,430,000.00","4,000.00",$0.00,$0.00
593,SAFT,"$1,353,730,000.00",552.00,$0.00,$0.00
618,SILK,"$1,537,070,000.00",352.00,$0.00,$0.00
620,SKT,"$1,666,240,000.00",310.00,$0.00,$0.00
663,TEN,"$1,575,860,000.00","71,000.00",$0.00,$0.00
654,SXI,"$1,088,360,000.00","3,900.00",$0.00,$0.00
644,STC,"$1,409,100,000.00","7,300.00",$0.00,$0.00
646,STER,"$1,825,890,000.00","6,000.00",$0.00,$0.00
647,STGW,"$1,787,360,000.00","9,100.00",$0.00,$0.00
648,STKL,"$998,200,000.00","1,380.00",$0.00,$0.00
650,SUPN,"$1,601,130,000.00",575.00,$0.00,$0.00
652,SWI,"$1,805,620,000.00","2,199.00",$0.00,$0.00
653,SWTX,"$1,473,530,000.00",190.00,$0.00,$0.00
655,SYBT,"$1,828,320,000.00","1,018.00",$0.00,$0.00
642,STAR,"$1,401,480,000.00",144.00,$0.00,$0.00
656,TALO,"$1,393,110,000.00",443.00,$0.00,$0.00
657,TARO,"$1,473,100,000.00","1,455.00",$0.00,$0.00
658,TBBK,"$1,322,150,000.00",650.00,$0.00,$0.00
659,TBK,"$1,747,610,000.00","1,328.00",$0.00,$0.00
660,TCBK,"$1,603,540,000.00","1,183.00",$0.00,$0.00
661,TDCX,"$1,207,460,000.00","14,000.00",$0.00,$0.00
662,TDS,"$1,735,200,000.00","8,800.00",$0.00,$0.00
643,STBA,"$1,174,280,000.00","1,160.00",$0.00,$0.00
641,SSYS,"$1,344,520,000.00","2,039.00",$0.00,$0.00
621,SKYW,"$1,113,160,000.00","15,205.00",$0.00,$0.00
630,SNDX,"$1,139,480,000.00",59.00,$0.00,$0.00
622,SLDP,"$1,113,540,000.00",127.00,$0.00,$0.00
623,SLGC,"$988,020,000.00",320.00,$0.00,$0.00
625,SLP,"$1,249,610,000.00",135.00,$0.00,$0.00
626,SLVM,"$1,581,230,000.00","7,500.00",$0.00,$0.00
627,SMP,"$982,650,000.00","5,000.00",$0.00,$0.00
628,SMRT,"$1,017,480,000.00",639.00,$0.00,$0.00
629,SNCY,"$1,139,730,000.00","2,316.00",$0.00,$0.00
631,SNEX,"$1,696,750,000.00","3,335.00",$0.00,$0.00
640,SSU,"$1,859,450,000.00","2,492.00",$0.00,$0.00
632,SOVO,"$1,463,480,000.00",608.00,$0.00,$0.00
633,SPCE,"$1,946,820,000.00",804.00,$0.00,$0.00
635,SPNS,"$1,415,780,000.00","4,044.00",$0.00,$0.00
636,SPTN,"$1,095,070,000.00","10,100.00",$0.00,$0.00
637,SRCE,"$1,138,710,000.00","1,130.00",$0.00,$0.00
638,SRNE,"$1,064,960,000.00",799.00,$0.00,$0.00
639,SSP,"$1,227,820,000.00","5,600.00",$0.00,$0.00
386,LILAK,"$1,284,220,000.00","11,900.00",$0.00,$0.00
384,LICY,"$1,249,810,000.00",155.00,$0.00,$0.00
2,AAWW,"$1,926,950,000.00","4,056.00",$0.00,$0.00
383,LGND,"$1,627,030,000.00",154.00,$0.00,$0.00
125,CDNA,"$1,365,660,000.00",633.00,$0.00,$0.00
126,CENTA,"$1,730,710,000.00","7,000.00",$0.00,$0.00
127,CERS,"$1,022,490,000.00",631.00,$0.00,$0.00
129,CFFN,"$1,310,840,000.00",649.00,$0.00,$0.00
131,CGC,"$1,000,030,000.00","3,151.00",$0.00,$0.00
132,CHCO,"$1,261,210,000.00",915.00,$0.00,$0.00
133,CHCT,"$937,990,000.00",30.00,$0.00,$0.00
134,CHEF,"$1,487,350,000.00","2,712.00",$0.00,$0.00
136,CINT,"$1,508,410,000.00","6,400.00",$0.00,$0.00
137,CLBT,"$1,071,370,000.00",900.00,$0.00,$0.00
138,CLDX,"$1,431,140,000.00",132.00,$0.00,$0.00
139,CLFD,"$1,095,490,000.00",250.00,$0.00,$0.00
141,CLNE,"$1,241,180,000.00",482.00,$0.00,$0.00
142,CLOV,"$1,300,390,000.00",680.00,$0.00,$0.00
143,CLS,"$1,336,890,000.00","18,643.00",$0.00,$0.00
144,CMP,"$1,216,470,000.00","2,000.00",$0.00,$0.00
146,CMRE,"$1,492,400,000.00","2,750.00",$0.00,$0.00
124,CDMO,"$1,264,060,000.00",321.00,$0.00,$0.00
123,CDEV,"$1,915,970,000.00",147.00,$0.00,$0.00
122,CCXI,"$1,725,770,000.00",178.00,$0.00,$0.00
110,BV,"$1,195,300,000.00","20,500.00",$0.00,$0.00
99,BRCC,"$1,966,040,000.00",836.00,$0.00,$0.00
100,BRDG,"$1,822,820,000.00","1,800.00",$0.00,$0.00
101,BRKL,"$1,065,440,000.00",786.00,$0.00,$0.00
102,BRMK,"$958,920,000.00",60.00,$0.00,$0.00
103,BRSP,"$1,099,840,000.00",55.00,$0.00,$0.00
106,BTRS,"$923,790,000.00",687.00,$0.00,$0.00
109,BUSE,"$1,373,040,000.00","1,493.00",$0.00,$0.00
113,BY,"$919,350,000.00",929.00,$0.00,$0.00
121,CCSI,"$1,055,970,000.00",459.00,$0.00,$0.00
114,CAKE,"$1,480,020,000.00","45,800.00",$0.00,$0.00
115,CAL,"$1,011,600,000.00","5,200.00",$0.00,$0.00
116,CAMT,"$1,306,980,000.00",404.00,$0.00,$0.00
117,CASH,"$1,256,070,000.00","1,178.00",$0.00,$0.00
118,CBL,"$918,880,000.00",400.00,$0.00,$0.00
119,CCRN,"$1,200,120,000.00","2,250.00",$0.00,$0.00
120,CCS,"$1,714,870,000.00","1,600.00",$0.00,$0.00
147,CNDT,"$957,450,000.00","58,000.00",$0.00,$0.00
148,CNNE,"$1,752,870,000.00","12,938.00",$0.00,$0.00
149,CNOB,"$986,630,000.00",434.00,$0.00,$0.00
182,DCFC,"$900,190,000.00",314.00,$0.00,$0.00
174,CUBI,"$1,305,790,000.00",692.00,$0.00,$0.00
176,CXW,"$1,343,510,000.00","10,350.00",$0.00,$0.00
177,CYRX,"$1,828,750,000.00",850.00,$0.00,$0.00
178,DAC,"$1,459,060,000.00",4.00,$0.00,$0.00
179,DAWN,"$1,355,230,000.00",80.00,$0.00,$0.00
180,DBI,"$1,055,430,000.00","13,500.00",$0.00,$0.00
181,DCBO,"$1,306,950,000.00",726.00,$0.00,$0.00
183,DCOM,"$1,250,880,000.00",802.00,$0.00,$0.00
172,CTRE,"$1,892,420,000.00",16.00,$0.00,$0.00
184,DCPH,"$909,670,000.00",280.00,$0.00,$0.00
185,DCT,"$1,930,990,000.00","1,653.00",$0.00,$0.00
186,DDD,"$1,424,530,000.00","1,721.00",$0.00,$0.00
187,DDL,"$1,375,140,000.00","4,005.00",$0.00,$0.00
188,DEA,"$1,789,870,000.00",53.00,$0.00,$0.00
189,DFH,"$1,183,120,000.00","1,212.00",$0.00,$0.00
190,DFIN,"$1,041,900,000.00","2,185.00",$0.00,$0.00
173,CTS,"$1,219,150,000.00","3,820.00",$0.00,$0.00
171,CTOS,"$1,359,320,000.00","1,800.00",$0.00,$0.00
150,CNXN,"$1,233,490,000.00","2,542.00",$0.00,$0.00
160,CRDO,"$1,796,460,000.00",382.00,$0.00,$0.00
151,CODI,"$1,604,160,000.00","3,968.00",$0.00,$0.00
152,COGT,"$1,058,920,000.00",77.00,$0.00,$0.00
153,COHU,"$1,419,940,000.00","3,075.00",$0.00,$0.00
154,COMM,"$1,614,260,000.00","30,000.00",$0.00,$0.00
155,COMP,"$1,628,850,000.00","4,775.00",$0.00,$0.00
157,CPRX,"$1,053,700,000.00",76.00,$0.00,$0.00
159,CRCT,"$1,612,480,000.00",800.00,$0.00,$0.00
161,CRHC,"$1,031,900,000.00",1.00,$0.00,$0.00
170,CTKB,"$1,657,310,000.00",511.00,$0.00,$0.00
162,CRNC,"$1,074,240,000.00","1,700.00",$0.00,$0.00
163,CRNX,"$1,103,890,000.00",143.00,$0.00,$0.00
164,CRON,"$1,586,400,000.00",626.00,$0.00,$0.00
166,CRSR,"$1,377,410,000.00","2,490.00",$0.00,$0.00
167,CRTO,"$1,491,210,000.00","2,939.00",$0.00,$0.00
168,CSR,"$1,263,990,000.00",394.00,$0.00,$0.00
169,CSWI,"$1,747,200,000.00","2,400.00",$0.00,$0.00
97,BMA,"$1,756,410,000.00","7,982.00",$0.00,$0.00
96,BLU,"$983,970,000.00",40.00,$0.00,$0.00
95,BLTE,"$1,013,220,000.00",12.00,$0.00,$0.00
36,AMPS,"$1,082,450,000.00",44.00,$0.00,$0.00
29,ALVO,"$1,889,740,000.00",784.00,$0.00,$0.00
30,ALX,"$1,187,510,000.00",70.00,$0.00,$0.00
31,AMCX,"$1,399,550,000.00","1,739.00",$0.00,$0.00
32,AMK,"$1,382,910,000.00",874.00,$0.00,$0.00
